year,player_name,player_id,base_price_in_cr,base_price,base_price_in_usd,status,id_source
2012,Vernon Philander,46945,0.97928,9792800,200000,unsold,already had id
2012,Fidel Edwards,51782,0.48964,4896400,100000,unsold,already had id
2012,Ravi Rampaul,52912,0.48964,4896400,100000,unsold,already had id
2012,Peter Siddle,7898,0.97928,9792800,200000,unsold,already had id
2012,Tim Southee,232364,0.48964,4896400,100000,unsold,already had id
2012,Graeme Swann,20431,1.95856,19585600,400000,unsold,already had id
2012,Rangana Herath,49178,0.24482,2448200,50000,unsold,already had id
2012,Ajantha Mendis,268739,0.24482,2448200,50000,unsold,already had id
2012,Steve O'Keefe,7069,0.48964,4896400,100000,unsold,already had id
2012,Xavier Doherty,5017,0.48964,4896400,100000,unsold,already had id
2012,Michael Klinger,6161,0.24482,2448200,50000,unsold,already had id
2012,Richard Levi,46148,0.24482,2448200,50000,unsold,already had id
2012,Alviro Petersen,46934,0.48964,4896400,100000,unsold,already had id
2012,Lendl Simmons,53116,0.24482,2448200,50000,unsold,already had id
2012,Farveez Maharoof,49638,0.24482,2448200,50000,unsold,already had id
2012,Jacob Oram,38062,0.48964,4896400,100000,unsold,already had id
2012,Moises Henriques,5961,0.24482,2448200,50000,unsold,already had id
2012,Ben Laughlin,315623,0.24482,2448200,50000,unsold,already had id
2012,Ryan McLaren,46393,0.48964,4896400,100000,unsold,already had id
2012,Nicky Boje,44091,0.97928,9792800,200000,unsold,already had id
2012,Jacques Rudolph,47015,0.097928,979280,20000,unsold,already had id
2012,Andy McKay,38005,0.24482,2448200,50000,unsold,already had id
2012,Alister McDermott,333810,0.097928,979280,20000,unsold,already had id
2012,Michael Neser,376169,0.24482,2448200,50000,unsold,already had id
2013,Aaron Finch,5334,0.97928,9792800,200000,unsold,already had id
2013,Upul Tharanga,50747,0.533238,5332380,50000,unsold,already had id
2013,Martin Guptill,226492,0.48964,4896400,100000,unsold,already had id
2013,Darren Bravo,277472,0.48964,4896400,100000,unsold,already had id
2013,Herschelle Gibbs,45224,0.97928,9792800,50000,unsold,already had id
2013,Adam Voges,8119,0.48964,4896400,100000,unsold,already had id
2013,Matthew Wade,230193,0.97928,9792800,200000,unsold,already had id
2013,Tim Paine,7252,0.48964,4896400,100000,unsold,already had id
2013,Matt Prior,18675,1.066476,10664760,200000,unsold,already had id
2013,Kaushal Silva,50482,0.1066476,1066476,20000,unsold,already had id
2013,Prasanna Jayawardene,49236,0.266619,2666190,50000,unsold,already had id
2013,Dane Vilas,262456,0.1066476,1066476,20000,unsold,already had id
